
Image Name                     PID Session Name        Session#    Mem Usage
msedge.exe                   10112 Console                    1      4,356 K
msedge.exe                    4800 Console                    1     44,840 K
msedge.exe                    6624 Console                    1      9,632 K
msedge.exe                    8184 Console                    1     22,660 K
msedge.exe                    8596 Console                    1     51,204 K
msedge.exe                    4744 Console                    1     13,992 K
msedge.exe                    3900 Console                    1     10,224 K
msedge.exe                    2976 Console                    1     16,772 K
msedge.exe                   10252 Console                    1     23,148 K
msedge.exe                   10688 Console                    1      7,708 K
msedge.exe                    8800 Console                    1      6,016 K
msedge.exe                   10772 Console                    1    144,988 K
svchost.exe                   8352 Services                   0      4,532 K
OfficeClickToRun.exe           236 Services                   0     22,324 K
svchost.exe                    968 Services                   0      9,068 K
AppVShNotify.exe              6028 Console                    1      1,676 K
msedge.exe                   10564 Console                    1     16,508 K
SearchIndexer.exe            11592 Services                   0     39,288 K
ONENOTEM.EXE                 11928 Console                    1      3,740 K
svchost.exe                  10592 Services                   0      5,700 K
msedge.exe                     340 Console                    1     18,760 K
HxOutlook.exe                10808 Console                    1      1,800 K
RuntimeBroker.exe             7964 Console                    1     19,692 K
HxTsr.exe                     2356 Console                    1     20,896 K
Brackets.exe                 11696 Console                    1     23,556 K
node.exe                      3984 Console                    1     17,000 K
conhost.exe                   6224 Console                    1      5,520 K
Brackets.exe                 11692 Console                    1     10,348 K
CodeHelper.exe                 412 Console                    1     13,556 K
taskhostw.exe                 2492 Console                    1     17,728 K
ONENOTE.EXE                   6204 Console                    1     71,148 K
Code.exe                     14896 Console                    1     56,220 K
Code.exe                     11720 Console                    1     15,168 K
Code.exe                       624 Console                    1     45,620 K
Code.exe                     12500 Console                    1     17,788 K
Code.exe                     15024 Console                    1    154,592 K
Code.exe                     10488 Console                    1    170,796 K
Code.exe                     11992 Console                    1     33,108 K
Code.exe                      7040 Console                    1     17,788 K
Code.exe                     10092 Console                    1     10,108 K
conhost.exe                  15276 Console                    1      7,580 K
pwsh.exe                     13828 Console                    1     31,252 K
Code.exe                     12612 Console                    1     12,104 K
Code.exe                     16352 Console                    1     17,280 K
Code.exe                     12028 Console                    1     19,012 K
Code.exe                     16192 Console                    1     15,680 K
conhost.exe                  15480 Console                    1      7,628 K
pwsh.exe                      6300 Console                    1     35,500 K
OneDrive.exe                  4904 Console                    1     83,792 K
svchost.exe                  17108 Console                    1      9,108 K
chrome.exe                   17232 Console                    1    140,992 K
chrome.exe                   17376 Console                    1     10,332 K
chrome.exe                   17436 Console                    1     32,920 K
chrome.exe                   17444 Console                    1     29,596 K
chrome.exe                   17468 Console                    1     19,256 K
chrome.exe                   17852 Console                    1     57,360 K
chrome.exe                   17920 Console                    1    163,300 K
chrome.exe                   17928 Console                    1     17,708 K
chrome.exe                   17948 Console                    1     14,944 K
chrome.exe                   17956 Console                    1     21,588 K
chrome.exe                    9612 Console                    1     13,360 K
chrome.exe                   13920 Console                    1     19,636 K
chrome.exe                   16208 Console                    1     16,636 K
chrome.exe                   14416 Console                    1     26,436 K
chrome.exe                   14928 Console                    1    271,484 K
msedge.exe                   16920 Console                    1    356,876 K
msedge.exe                   13572 Console                    1     19,972 K
msedge.exe                   10620 Console                    1     34,852 K
msedge.exe                   18384 Console                    1     34,700 K
msedge.exe                   15524 Console                    1     16,708 K
msedge.exe                    9432 Console                    1     23,232 K
msedge.exe                   15852 Console                    1     28,096 K
msedge.exe                   17732 Console                    1     27,256 K
msedge.exe                    5976 Console                    1     21,384 K
msedge.exe                   19124 Console                    1     22,544 K
msedge.exe                   17176 Console                    1     27,728 K
msedge.exe                   15208 Console                    1     29,636 K
gimp-2.10.exe                14588 Console                    1     29,820 K
script-fu.exe                12896 Console                    1     13,640 K
svchost.exe                  15220 Console                    1     10,660 K
svchost.exe                  15036 Console                    1      7,140 K
dllhost.exe                   5172 Console                    1      7,620 K
dasHost.exe                   8348 Services                   0      4,140 K
svchost.exe                   9504 Services                   0     12,212 K
msedge.exe                   13824 Console                    1     29,028 K
mmc.exe                      17136 Console                    1     20,984 K
MoUsoCoreWorker.exe          13148 Services                   0     13,984 K
svchost.exe                  18904 Services                   0      9,432 K
notepad.exe                   5480 Console                    1     11,404 K
GetHelp.exe                  18868 Console                    1     10,688 K
